,ouname,ou,disease,dateOfOnSet,confirmed_x,suspected_x,Alive_x,Cured_x,_x,confirmed_y,suspected_y,_y,Positive,,Alive_y,Cured_y,Sorti gueri,Sorti guerrie,Sortie guerris,Sortis guerri,alive,sortie,dateOfOnSetWeek,confirmedValue,suspectedValue
0,Gacuba Ii CS,rnM981srks2,Cholera,2017-09-14,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W37,1.0,1.0
1,Gashora CS,BPZcHDS6OO0,Cholera,2017-10-20,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W42,1.0,2.0
2,Gashora CS,BPZcHDS6OO0,Cholera,2017-10-21,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W42,1.0,2.0
3,Gisenyi DH,Sbzd3FNR8zA,Cholera,2017-09-08,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W36,1.0,1.0
4,Ngarama CS,b3P67XGwUEf,Cholera,2017-05-01,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W18,0.0,1.0
5,Ngarama CS,b3P67XGwUEf,Cholera,2017-05-08,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W19,0.0,1.0
6,Nkanka CS,Ff3uFhrM9Br,Cholera,2017-09-04,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2017W36,0.0,1.0
7,Nkanka CS,Ff3uFhrM9Br,Cholera,2017-09-07,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W36,0.0,1.0
8,Nkanka CS,Ff3uFhrM9Br,Cholera,2017-09-08,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017W36,0.0,1.0
9,Nkanka CS,Ff3uFhrM9Br,Cholera,2017-09-11,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2017W37,0.0,2.0
