,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,orgunitlevel6,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Malaria Confirmed cases  W25 2019,Malaria Confirmed cases  W24 2019,Malaria Confirmed cases  W23 2019,Malaria Confirmed cases  W22 2019,Malaria Confirmed cases  W21 2019,Malaria Confirmed cases  W26 2018,Malaria Confirmed cases  W25 2018,Malaria Confirmed cases  W24 2018,Malaria Confirmed cases  W23 2018,Malaria Confirmed cases  W22 2018,Malaria Confirmed cases  W26 2017,Malaria Confirmed cases  W25 2017,Malaria Confirmed cases  W24 2017,Malaria Confirmed cases  W23 2017,Malaria Confirmed cases  W22 2017,Malaria Deaths W25 2019,Malaria Deaths W24 2019,Malaria Deaths W23 2019,Malaria Deaths W22 2019,Malaria Deaths W21 2019,Malaria Deaths W26 2018,Malaria Deaths W25 2018,Malaria Deaths W24 2018,Malaria Deaths W23 2018,Malaria Deaths W22 2018,Malaria Deaths W26 2017,Malaria Deaths W25 2017,Malaria Deaths W24 2017,Malaria Deaths W23 2017,Malaria Deaths W22 2017,Malaria Confirmed cases  W25 2019,Malaria Confirmed cases  W24 2019,Malaria Confirmed cases  W23 2019,Malaria Confirmed cases  W22 2019,Malaria Confirmed cases  W21 2019,Malaria Confirmed cases  W26 2018,Malaria Confirmed cases  W25 2018,Malaria Confirmed cases  W24 2018,Malaria Confirmed cases  W23 2018,Malaria Confirmed cases  W22 2018,Malaria Confirmed cases  W26 2017,Malaria Confirmed cases  W25 2017,Malaria Confirmed cases  W24 2017,Malaria Confirmed cases  W23 2017,Malaria Confirmed cases  W22 2017
0,Rwanda,South,Gisagara District,Kibilizi Sub District,Kigembe,Agahabwa CS,zW02yWYjgc2,Agahabwa CS,1554,,,,,,,13.0,10.0,11.0,12.0,17.0,78.0,72.0,81.0,73.0,65.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13.0,10.0,11.0,12.0,17.0,78.0,72.0,81.0,73.0,65.0
1,Rwanda,Kigali City,Gasabo District,Kibagabaga Sub District,Remera,Amani DISP,D2jDOLurR6A,Amani DISP,1300,,,,,,,,,,,,2.0,3.0,2.0,2.0,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2.0,3.0,2.0,2.0,1.0
2,Rwanda,Kigali City,Gasabo District,Kibagabaga Sub District,Kacyiru,Amizero (Kacyiru) DISP,n075m2kdQM5,Amizero (Kacyiru) DISP,1145,,,,,,,3.0,0.0,3.0,4.0,1.0,5.0,6.0,4.0,9.0,5.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3.0,0.0,3.0,4.0,1.0,5.0,6.0,4.0,9.0,5.0
3,Rwanda,East,Nyagatare District,Nyagatare Sub District,RUKOMO,Amizero (Nyagatare) DISP,Hy956vhVti8,Amizero (Nyagatare) DISP,1370,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0
4,Rwanda,Kigali City,Kicukiro District,Masaka Sub District,Nyarugunga,Amizero (Nyarugunga) DISP,dC9OBTkwKqG,Amizero (Nyarugunga) DISP,1146,,,,,,,0.0,6.0,2.0,3.0,0.0,,,,,15.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,6.0,2.0,3.0,0.0,,,,,15.0
5,Rwanda,Kigali City,Nyarugenge District,Muhima Sub District,Muhima,Amizero Iwacu DISP,IqMrfX5VFXA,Amizero Iwacu DISP,1144,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
6,Rwanda,North,Burera District,Butaro Sub District,Gahunga,AMOUR DISP,dZBGQXiW4B3,AMOUR DISP,1371,Dispensaries,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7,Rwanda,West,Nyabihu District,Shyira Sub District,Bigogwe,Arusha CS,oWQbojfJavL,Arusha CS,206,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Rwanda,Kigali City,Gasabo District,Kibagabaga Sub District,Remera,Avega Kigali CS,WQfcGksrVsL,Avega Kigali CS,13,,,,,,,8.0,20.0,18.0,38.0,25.0,14.0,7.0,27.0,20.0,20.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8.0,20.0,18.0,38.0,25.0,14.0,7.0,27.0,20.0,20.0
9,Rwanda,East,Rwamagana District,Rwamagana Sub District,Muhazi,Avega Rwamagana CS,XLOZBluFUHS,Avega Rwamagana CS,547,,,,,,,252.0,338.0,307.0,219.0,348.0,133.0,177.0,132.0,162.0,175.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,252.0,338.0,307.0,219.0,348.0,133.0,177.0,132.0,162.0,175.0
10,Rwanda,Kigali City,Gasabo District,Kibagabaga Sub District,Kinyinya,Bethesda (Kinyinya) Disp,PaLskGFFLH5,Bethesda (Kinyinya) Disp,1566,,,,,,,,10.0,8.0,,7.0,,6.0,5.0,2.0,7.0,,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,10.0,8.0,,7.0,,6.0,5.0,2.0,7.0
11,Rwanda,Kigali City,Kicukiro District,Masaka Sub District,Kicukiro,Bethsaida  CS,cMENZRfOe2C,Bethsaida  CS,29,,,,,,,10.0,36.0,33.0,35.0,35.0,10.0,17.0,31.0,39.0,36.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,36.0,33.0,35.0,35.0,10.0,17.0,31.0,39.0,36.0
12,Rwanda,Kigali City,Nyarugenge District,Muhima Sub District,Muhima,Bien Naitre CLIN,hlGqzZVVbGa,Bien Naitre CLIN,1121,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Rwanda,West,Nyabihu District,Shyira Sub District,Bigogwe,Bigogwe CS,H20elb9Y79s,Bigogwe CS,207,,,,,,,0.0,4.0,9.0,9.0,5.0,9.0,11.0,7.0,4.0,6.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,4.0,9.0,9.0,5.0,9.0,11.0,7.0,4.0,6.0
14,Rwanda,West,Karongi District,Kibuye Sub District,Rwankuba,Bigugu CS,lafQztxvtxo,Bigugu CS,1662,,,,,,,16.0,14.0,24.0,21.0,19.0,49.0,48.0,26.0,24.0,35.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,16.0,14.0,24.0,21.0,19.0,49.0,48.0,26.0,24.0,35.0
15,Rwanda,West,Karongi District,Kirinda Sub District,Ruganda,Biguhu CS,Vw5naWKWfNv,Biguhu CS,154,,,,,,,19.0,2.0,28.0,37.0,43.0,60.0,66.0,80.0,72.0,81.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19.0,2.0,28.0,37.0,43.0,60.0,66.0,80.0,72.0,81.0
